obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.9, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 2.0}
