family,side,bucket,band,n_markets,grey,avg_paid_c,realized_pct,bias_pp,ci_lo,ci_hi,vw_paid_c,vw_realized_pct,qty_contracts,n_trades,spread_med_c,spread_n_markets,fee_c,cost_c,exceeds_cost,max_single_loss_c
politics_events,yes,35-50,gt60m,1725,False,41.85,37.45,4.4,2.29,6.71,42.08,45.96,2965615.5,108495,31.64,2676,1.7,33.35,False,65.0
politics_events,yes,45-55(null),gt60m,1528,False,49.39,42.74,6.65,4.11,9.18,49.64,56.07,2076612.8,79485,25.44,4962,1.75,27.19,False,55.0
politics_events,yes,50-65,gt60m,1671,False,56.71,47.34,9.38,7.04,11.82,56.77,57.41,3003882.1,111823,19.24,2286,1.72,20.95,False,50.0
politics_events,yes,65-80,gt60m,1693,False,71.03,58.71,12.32,10.05,14.43,70.72,62.45,2004946.7,64149,10.18,1650,1.44,11.62,True,35.0
politics_events,yes,80-90,gt60m,1388,False,84.42,73.7,10.72,8.44,12.81,84.22,84.22,1073438.0,30708,6.56,1115,0.92,7.48,True,20.0
politics_events,yes,90-95,gt60m,1170,False,91.69,85.56,6.14,4.05,8.15,91.86,85.79,589802.8,14262,5.0,610,0.53,5.53,True,10.0
politics_events,yes,95-99,gt60m,1087,False,97.82,93.28,4.53,3.09,6.11,97.83,97.5,1858553.7,20059,2.0,460,0.15,2.15,True,5.0
politics_events,yes,01-05,lt2m,266,False,1.02,0.0,1.02,1.0,1.04,1.01,0.0,409255.6,855,1.83,31,0.07,1.9,False,
politics_events,yes,05-10,lt2m,8,True,6.17,0.0,6.17,5.26,7.12,6.65,0.0,1041.6,33,6.12,14,0.41,6.53,False,
politics_events,yes,10-20,lt2m,2,True,10.84,0.0,10.84,10.0,11.69,11.34,0.0,159.8,19,9.0,13,0.68,9.68,False,
politics_events,yes,95-99,lt2m,5,True,98.5,100.0,-1.5,-2.3,-1.0,98.81,100.0,565.6,15,2.0,8,0.1,2.1,False,3.0
sports_game,no,01-05,10-60m,1466,False,1.92,1.84,0.08,-0.64,0.74,1.9,1.9,40730086.7,148445,1.41,1365,0.13,1.54,False,99.0
sports_game,no,05-10,10-60m,1424,False,6.99,5.62,1.37,0.09,2.62,6.78,6.74,21045493.5,119883,1.83,1664,0.45,2.29,False,95.0
sports_game,no,10-20,10-60m,1720,False,14.26,11.74,2.51,1.04,3.95,14.15,10.88,29288334.7,201519,2.04,1912,0.86,2.89,False,90.0
sports_game,no,20-35,10-60m,1785,False,26.46,24.48,1.98,0.05,3.84,26.4,22.94,26086920.8,211958,2.31,2000,1.36,3.68,False,79.3
sports_game,no,35-50,10-60m,1731,False,41.93,39.75,2.18,-0.22,4.44,42.09,39.91,27197183.4,216848,2.6,2017,1.7,4.31,False,65.0
sports_game,no,45-55(null),10-60m,1609,False,49.47,48.6,0.87,-1.59,3.4,49.56,50.41,19702199.1,152783,2.61,4131,1.75,4.36,False,55.0
sports_game,no,50-65,10-60m,1810,False,57.16,58.01,-0.85,-3.09,1.52,56.94,61.58,30504381.2,244381,2.61,2114,1.71,4.32,False,50.0
sports_game,no,65-80,10-60m,2064,False,72.72,73.64,-0.92,-2.7,0.97,72.54,79.09,35316584.3,291686,2.38,2350,1.39,3.77,False,35.0
sports_game,no,80-90,10-60m,2241,False,84.86,84.02,0.84,-0.61,2.27,84.85,87.43,37845387.5,307680,2.03,2357,0.9,2.93,False,20.0
sports_game,no,90-95,10-60m,2181,False,92.16,90.69,1.46,0.21,2.7,92.13,88.51,25737630.5,201408,1.83,2136,0.51,2.33,False,10.0
sports_game,no,95-99,10-60m,2137,False,97.23,94.57,2.66,1.77,3.74,97.41,98.04,41963378.1,232320,1.28,1808,0.19,1.47,True,5.0
sports_game,no,01-05,2-5m,1501,False,1.21,0.2,1.01,0.76,1.21,1.25,0.01,11026569.8,45738,1.44,417,0.08,1.53,False,96.3
sports_game,no,05-10,2-5m,304,False,6.76,1.32,5.45,4.01,6.51,6.59,2.67,1693214.9,12207,2.28,322,0.44,2.72,True,94.4
sports_game,no,10-20,2-5m,214,False,12.71,2.34,10.38,8.16,12.08,12.81,1.96,920933.5,8047,4.34,226,0.78,5.12,True,88.5
sports_game,no,20-35,2-5m,115,False,24.86,8.7,16.17,10.9,21.12,24.8,0.99,214655.6,2126,5.86,112,1.31,7.17,True,79.4
sports_game,no,35-50,2-5m,58,False,40.62,25.86,14.76,3.11,25.05,43.39,14.83,125675.2,2227,14.25,60,1.69,15.94,False,64.0
sports_game,no,45-55(null),2-5m,39,False,49.43,41.03,8.4,-6.85,23.57,48.46,24.31,103570.7,1523,11.88,118,1.75,13.63,False,53.2
sports_game,no,50-65,2-5m,51,False,56.91,52.94,3.96,-9.07,16.98,56.67,69.35,157251.8,2043,9.51,58,1.72,11.22,False,50.0
sports_game,no,65-80,2-5m,82,False,74.01,79.27,-5.25,-14.08,3.99,73.51,93.12,179426.8,2490,5.71,114,1.35,7.06,False,32.0
sports_game,no,80-90,2-5m,167,False,86.28,94.01,-7.73,-10.9,-3.74,85.54,99.6,552722.1,4793,4.13,242,0.83,4.96,True,20.0
sports_game,no,90-95,2-5m,294,False,92.66,96.6,-3.94,-5.83,-1.81,92.27,99.65,880681.4,8218,2.53,381,0.48,3.01,True,10.0
sports_game,no,95-99,2-5m,600,False,97.97,98.5,-0.53,-1.38,0.44,97.86,99.79,4438305.3,28330,1.28,495,0.14,1.42,False,5.0
sports_game,no,01-05,5-10m,1465,False,1.41,0.27,1.14,0.83,1.35,1.52,0.18,16938610.1,63642,1.33,760,0.1,1.43,False,99.0
sports_game,no,05-10,5-10m,625,False,6.79,2.72,4.07,2.76,5.24,6.91,1.14,4988234.5,30821,1.96,682,0.44,2.4,True,95.0
sports_game,no,10-20,5-10m,563,False,13.36,5.86,7.5,5.42,9.27,13.12,3.09,4177130.3,33278,2.8,602,0.81,3.61,True,89.7
sports_game,no,20-35,5-10m,354,False,24.87,13.84,11.02,7.43,14.42,25.31,5.38,2175025.1,15440,3.3,370,1.31,4.61,True,79.4
sports_game,no,35-50,5-10m,209,False,41.26,33.01,8.24,1.87,14.3,42.38,25.95,1118280.6,7235,4.2,245,1.7,5.9,True,65.0
sports_game,no,45-55(null),5-10m,160,False,49.33,48.12,1.21,-6.24,8.44,49.71,56.87,929416.5,5259,4.55,483,1.75,6.3,False,55.0
sports_game,no,50-65,5-10m,193,False,57.51,61.66,-4.15,-10.93,2.52,56.18,77.55,984890.6,6907,4.9,238,1.71,6.61,False,48.9
sports_game,no,65-80,5-10m,273,False,73.33,82.78,-9.45,-13.75,-5.1,73.35,93.89,1902719.6,13384,4.0,352,1.37,5.37,True,35.0
sports_game,no,80-90,5-10m,508,False,85.83,92.72,-6.89,-8.99,-4.5,84.86,98.64,3274633.0,25256,2.85,652,0.85,3.7,True,20.0
sports_game,no,90-95,5-10m,727,False,92.51,96.01,-3.5,-4.82,-2.06,92.25,98.28,3982364.9,35460,2.0,844,0.49,2.49,True,10.0
sports_game,no,95-99,5-10m,1120,False,97.63,98.04,-0.4,-1.21,0.45,97.62,99.62,10389612.8,63847,1.28,938,0.16,1.44,False,5.0
sports_game,no,01-05,gt60m,402,False,2.21,5.72,-3.51,-5.93,-1.3,2.06,4.69,6480276.5,28235,1.65,487,0.15,1.8,True,98.9
sports_game,no,05-10,gt60m,700,False,7.35,11.0,-3.65,-5.93,-1.48,6.99,11.81,6112854.7,40150,1.96,872,0.48,2.44,True,94.2
sports_game,no,10-20,gt60m,1305,False,14.95,18.54,-3.6,-5.53,-1.62,14.58,18.24,14312672.4,94635,2.27,1580,0.89,3.16,True,90.0
sports_game,no,20-35,gt60m,2088,False,27.84,31.23,-3.39,-5.3,-1.57,27.26,31.94,23488946.1,178765,3.17,2640,1.41,4.58,False,80.0
