family,phase,grp,date,pnl_c
sports_game,ingame,favorite,2026-07-10,7.944725870212596
sports_game,ingame,favorite,2026-07-11,17.09577677206842
sports_game,ingame,favorite,2026-07-12,5.65503889044129
sports_game,ingame,favorite,2026-07-13,9.927221189321974
sports_game,ingame,favorite,2026-07-14,2.3552912847359955
sports_game,ingame,favorite,2026-07-15,10.450655724808973
sports_game,ingame,favorite,2026-07-16,-3.5816354566987005
sports_game,ingame,favorite,2026-07-17,13.641981140517245
sports_game,ingame,favorite,2026-07-18,13.472156489933887
sports_game,ingame,favorite,2026-07-19,14.696866306149476
sports_game,ingame,favorite,2026-07-20,5.220941255643318
sports_game,ingame,favorite,2026-07-21,3.78687846886759
sports_game,ingame,favorite,2026-07-22,3.478783449347918
sports_game,ingame,favorite,2026-07-23,19.66371765757323
sports_game,ingame,favorite,2026-07-24,21.30031800088319
sports_game,ingame,longshot,2026-07-10,7.052661748917933
sports_game,ingame,longshot,2026-07-11,3.239535547256906
sports_game,ingame,longshot,2026-07-12,10.416298949975026
sports_game,ingame,longshot,2026-07-13,-3.6907415812991875
sports_game,ingame,longshot,2026-07-14,3.047872490094156
sports_game,ingame,longshot,2026-07-15,4.313635695371812
sports_game,ingame,longshot,2026-07-16,13.845784765726249
sports_game,ingame,longshot,2026-07-17,6.450124305968996
sports_game,ingame,longshot,2026-07-18,-3.5271594038664404
sports_game,ingame,longshot,2026-07-19,-11.65973039321881
sports_game,ingame,longshot,2026-07-20,5.093199725219714
sports_game,ingame,longshot,2026-07-21,-4.702229400317352
sports_game,ingame,longshot,2026-07-22,19.454729963569015
sports_game,ingame,longshot,2026-07-23,-13.152580618847292
sports_game,ingame,longshot,2026-07-24,-37.407977717974276
sports_game,pregame,favorite,2026-07-10,2.6040589587842558
sports_game,pregame,favorite,2026-07-11,-0.43637435826724524
sports_game,pregame,favorite,2026-07-12,-0.5527778934470394
sports_game,pregame,favorite,2026-07-13,-0.47041864724559274
sports_game,pregame,favorite,2026-07-14,1.7604156825393853
sports_game,pregame,favorite,2026-07-15,4.926891680190887
sports_game,pregame,favorite,2026-07-16,3.481282443427059
sports_game,pregame,favorite,2026-07-17,4.031853706022291
sports_game,pregame,favorite,2026-07-18,0.19131521056499282
sports_game,pregame,favorite,2026-07-19,7.326953018817806
sports_game,pregame,favorite,2026-07-20,-1.0000555754113325
sports_game,pregame,favorite,2026-07-21,-1.0640543103092113
sports_game,pregame,favorite,2026-07-22,5.426030048537858
sports_game,pregame,favorite,2026-07-23,11.699689105691782
sports_game,pregame,favorite,2026-07-24,1.3263624352795347
sports_game,pregame,longshot,2026-07-10,-0.4257607453392535
sports_game,pregame,longshot,2026-07-11,7.252965592644524
sports_game,pregame,longshot,2026-07-12,-0.7900184795105574
sports_game,pregame,longshot,2026-07-13,1.7324050110620905
sports_game,pregame,longshot,2026-07-14,-1.759959487195597
sports_game,pregame,longshot,2026-07-15,-5.6306711585598155
sports_game,pregame,longshot,2026-07-16,5.953151755364296
sports_game,pregame,longshot,2026-07-17,-15.530916965859996
sports_game,pregame,longshot,2026-07-18,1.1405656854748174
sports_game,pregame,longshot,2026-07-19,-4.9999784972104795
sports_game,pregame,longshot,2026-07-20,-3.533091565457097
sports_game,pregame,longshot,2026-07-21,11.81600501766691
sports_game,pregame,longshot,2026-07-22,0.4525688864834595
sports_game,pregame,longshot,2026-07-23,-12.856650154683667
sports_game,pregame,longshot,2026-07-24,-14.221348765673172
sports_game,unknown,favorite,2026-07-10,1.6295875429892703
sports_game,unknown,favorite,2026-07-11,15.01842029723795
sports_game,unknown,favorite,2026-07-12,18.531612446244267
sports_game,unknown,favorite,2026-07-13,16.120002776022066
sports_game,unknown,favorite,2026-07-14,3.8016113033401293
sports_game,unknown,favorite,2026-07-15,16.097582491651917
sports_game,unknown,favorite,2026-07-16,17.414710088798152
sports_game,unknown,favorite,2026-07-17,20.094125177725065
sports_game,unknown,favorite,2026-07-18,25.076401033005045
sports_game,unknown,favorite,2026-07-19,20.869851811479744
sports_game,unknown,favorite,2026-07-20,5.477522424461276
sports_game,unknown,favorite,2026-07-21,38.326841725290656
sports_game,unknown,favorite,2026-07-22,35.216552720639015
sports_game,unknown,favorite,2026-07-23,16.085137735235914
sports_game,unknown,favorite,2026-07-24,31.689598702102394
sports_game,unknown,longshot,2026-07-10,3.391965433274312
sports_game,unknown,longshot,2026-07-11,-10.198714149329515
