date,events,markets,max_market_share,hhi
2026-07-12,126,203,0.035149959536674484,0.01489955376651074
2026-07-15,144,247,0.04087139102375478,0.013843517330576817
2026-07-17,135,226,0.03144579456996393,0.013459452040174666
